formula,spacegroup
CeSiHRu,127
Al2Te3,13
Nd2CuO4,63
Li4MnCo2O7,7
Eu4As7Ir8,10
K3TbSi3(HO5)2,61
CuH16C4(N5O)2,60
KSO2F,3
Ir(N2Cl3)2,105
Rb2CrF5,61
Nb5Ge3,138
KBa2Cd2Sb3,61
Co4(CuO4)3,146
TiNiO3,0
Cs2BrCl6F,219
Cs2Si(S2O7)3,145
Gd2SO2,162
ZrNCl,164
ZrSiIr,61
NaH8SNO6,18
NpNi5,188
TePbO3,75
MgSc3,184
LiFe2P5O16,6
Zr3Ti2Si3,190
K4Ba2SnSb4,8
Ce(CoB)4,135
Te4Au(OF5)4,1
U(ClO)2,61
Ce3Cd,137
MgV6O5F19,0
Si4Ge(H3C)11,1
Li5Fe8(BO3)8,0
BaNa3PCO7,10
Na6Ta16Zn8Si15(S7O48)3,0
Ti3Zn,215
Li4Cr3Ni(PO4)4,5
Co3TeO8,14
Ti11O14,11
MgTi4O8,7
Pr6RuBr10,1
Na2Ti12O25,9
Mg5Zn,37
Gd3MnGaS7,170
Na3Li3Fe2P2(CO7)2,0
La2S2O,13
LaMg3,219
PH4N3,13
Cs2Na(C2N3)3,173
K2Ce2Fe4O11,64
LiInSn,210
NaHfGaSi(SO6)2,8
CdI2,154
Cu2BiPO6,61
TbTlPd,186
RbCaBr3,215
Nb6AlGe,197
Ba4Hf3O10,63
Fe2Si,162
Li2Mn3VO8,18
Cs2ZnBi2S5,61
LiVSiO4,178
Nd5(FeB)18,55
BaLa2Te5O14,14
Tm3Si3Ni,11
VAg(SO4)2,11
ErAlPd,186
BaLaCuRuO6,81
K2Ce(NO3)6,145
Li3Co2NiO6,7
NdSeF,127
Rb2ScInI6,219
Nb3Fe(Se4S)2,5
ZrSnPd2,219
K2Cu2Te5,62
Nd3Lu2(GaO4)3,224
Li3Fe(Si2O5)3,189
LiCoP2O7,13
K2SiO3,13
BaCa2In6O12,141
Ba2YCu3O6F,46
Ho5(In2Pd)2,54
BaNaAlF6,32
Fe(BW)2,125
Li3TiN2,203
TmNiB4,54
Dy3(Al3Ru)4,191
ClF,13
Ba4Sr2Gd2Co4O15,0
Mg30AlFeO32,121
Cd2H2SO6,14
